tijd,positie1,positie2
7.3201464029280582e-05,1.8830605388886579e-16,0.0000000000000000e+00
7.3801476029520591e-05,1.9173974618621925e-16,0.0000000000000000e+00
7.4401488029760587e-05,1.9521114788479546e-16,0.0000000000000000e+00
7.5001500030000596e-05,1.9872045522265167e-16,0.0000000000000000e+00
7.5601512030240605e-05,2.0226786543162411e-16,0.0000000000000000e+00
7.6201524030480600e-05,2.0585357674221408e-16,0.0000000000000000e+00
7.6801536030720609e-05,2.0947778838849742e-16,0.0000000000000000e+00
7.7401548030960618e-05,2.1314070061305704e-16,0.0000000000000000e+00
7.8001560031200614e-05,2.1684251467193935e-16,0.0000000000000000e+00
7.8601572031440623e-05,2.2058343283963383e-16,0.0000000000000000e+00
7.9201584031680632e-05,2.2436365841407664e-16,0.0000000000000000e+00
7.9801596031920627e-05,2.2818339572167774e-16,0.0000000000000000e+00
8.0401608032160636e-05,2.3204285012237220e-16,0.0000000000000000e+00
8.1001620032400645e-05,2.3594222801469534e-16,0.0000000000000000e+00
8.1601632032640654e-05,2.3988173684088206e-16,0.0000000000000000e+00
8.2201644032880650e-05,2.4386158509199030e-16,0.0000000000000000e+00
8.2801656033120659e-05,2.4788198231304912e-16,0.0000000000000000e+00
8.3401668033360668e-05,2.5194313910823084e-16,0.0000000000000000e+00
8.4001680033600663e-05,2.5604526714604817e-16,0.0000000000000000e+00
8.4601692033840672e-05,2.6018857916457565e-16,0.0000000000000000e+00
8.5201704034080681e-05,2.6437328897669628e-16,0.0000000000000000e+00
8.5801716034320676e-05,2.6859961147537267e-16,0.0000000000000000e+00
8.6401728034560685e-05,2.7286776263894344e-16,0.0000000000000000e+00
8.7001740034800694e-05,2.7717795953644484e-16,0.0000000000000000e+00
8.7601752035040690e-05,2.8153042033295717e-16,0.0000000000000000e+00
8.8201764035280699e-05,2.8592536429497730e-16,0.0000000000000000e+00
8.8801776035520708e-05,2.9036301179581606e-16,0.0000000000000000e+00
8.9401788035760703e-05,2.9484358432102152e-16,0.0000000000000000e+00
9.0001800036000712e-05,2.9936730447382787e-16,0.0000000000000000e+00
9.0601812036240721e-05,3.0393439598063022e-16,0.0000000000000000e+00
9.1201824036480717e-05,3.0854508369648526e-16,0.0000000000000000e+00
9.1801836036720726e-05,3.1319959361063822e-16,0.0000000000000000e+00
